price,time
28106.78000000,1679471553484
28106.78000000,1679471553953
28106.73000000,1679471554250
28106.49000000,1679471554551
28106.48000000,1679471554845
28106.24000000,1679471555140
28106.23000000,1679471555437
28105.60000000,1679471555749
28105.60000000,1679471556050
28105.78000000,1679471556339
28105.78000000,1679471556638
28105.79000000,1679471556937
28105.80000000,1679471557229
28105.82000000,1679471557522
28107.01000000,1679471557816
28107.02000000,1679471558105
28107.02000000,1679471558392
28107.03000000,1679471558682
28109.17000000,1679471558983
28109.18000000,1679471559277
28109.18000000,1679471559568
28109.35000000,1679471559860
28109.36000000,1679471560171
28109.37000000,1679471560469
28109.51000000,1679471560784
28109.55000000,1679471561077
28109.55000000,1679471561383
28109.56000000,1679471561675
28111.76000000,1679471561963
28115.90000000,1679471562259
28117.76000000,1679471562860
28119.17000000,1679471563146
28119.85000000,1679471563436
28119.86000000,1679471563736
28119.49000000,1679471564030
28119.12000000,1679471564323
28119.14000000,1679471564627
28119.14000000,1679471564913
28119.87000000,1679471565217
28119.96000000,1679471565507
28121.10000000,1679471565797
28121.43000000,1679471566085
28123.52000000,1679471566658
28123.57000000,1679471566948
28123.79000000,1679471567244
28123.80000000,1679471567541
28123.80000000,1679471567845
28123.79000000,1679471568132
28123.79000000,1679471568431
28123.79000000,1679471568721
28121.21000000,1679471569013
28121.21000000,1679471569292
28119.95000000,1679471569578
28119.95000000,1679471569873
28119.96000000,1679471570160
28119.95000000,1679471570460
28119.96000000,1679471570750
28119.96000000,1679471571043
28119.95000000,1679471571336
28119.95000000,1679471571632
28119.42000000,1679471571926
28118.06000000,1679471572226
28118.07000000,1679471572530
28118.07000000,1679471572824
28119.02000000,1679471573144
28119.01000000,1679471573497
28118.58000000,1679471573792
28118.59000000,1679471574085
28119.55000000,1679471574380
28119.85000000,1679471574671
28121.77000000,1679471574969
28123.08000000,1679471575251
28123.82000000,1679471575549
28123.82000000,1679471575856
28123.99000000,1679471576152
28124.51000000,1679471576439
28124.72000000,1679471576735
28125.00000000,1679471577044
28128.00000000,1679471577346
28129.99000000,1679471577636
28129.99000000,1679471577977
28129.99000000,1679471578268
28129.06000000,1679471578560
28127.68000000,1679471578865
28125.90000000,1679471579158
28125.89000000,1679471579458
28125.04000000,1679471579752
28121.19000000,1679471580034
28119.36000000,1679471580327
28120.36000000,1679471580687
28120.36000000,1679471580971
28120.34000000,1679471581548
28120.33000000,1679471581839
28120.33000000,1679471582130
28117.38000000,1679471582437
28117.38000000,1679471582750
28113.61000000,1679471583061
28114.47000000,1679471583355
28114.46000000,1679471583661
28113.61000000,1679471583956
28113.59000000,1679471584260
28113.59000000,1679471584560
28112.38000000,1679471584865
28112.38000000,1679471585174
28112.39000000,1679471585481
28112.39000000,1679471585793
28113.20000000,1679471586094
28113.29000000,1679471586393
28115.74000000,1679471586694
28113.92000000,1679471587005
28113.93000000,1679471587297
28113.92000000,1679471587598
28113.93000000,1679471587893
28113.93000000,1679471588208
28113.93000000,1679471588507
28114.91000000,1679471588805
28114.90000000,1679471589104
28114.62000000,1679471589400
28114.60000000,1679471589995
28114.60000000,1679471590288
28114.60000000,1679471590582
28114.47000000,1679471590881
28114.47000000,1679471591170
28114.46000000,1679471591496
28114.46000000,1679471591795
28114.45000000,1679471592090
28114.02000000,1679471592399
28114.01000000,1679471592698
28113.92000000,1679471592992
28113.85000000,1679471593291
28113.72000000,1679471593594
28113.46000000,1679471593895
28113.20000000,1679471594200
28113.16000000,1679471594500
28113.16000000,1679471594793
28113.16000000,1679471595095
28112.82000000,1679471595400
28112.82000000,1679471595699
28112.82000000,1679471596004
28112.38000000,1679471596318
28110.01000000,1679471596611
28110.01000000,1679471596907
28109.98000000,1679471597235
28108.99000000,1679471597826
28108.98000000,1679471598134
28108.97000000,1679471598440
28108.98000000,1679471598741
28108.98000000,1679471599041
28108.84000000,1679471599625
28108.42000000,1679471599926
28108.15000000,1679471600226
28108.15000000,1679471600532
28108.15000000,1679471600832
28107.90000000,1679471601118
28107.90000000,1679471601416
28108.05000000,1679471601718
28108.06000000,1679471602006
28108.06000000,1679471602309
28110.43000000,1679471602611
28110.42000000,1679471602893
28110.43000000,1679471603191
28110.43000000,1679471603483
28110.60000000,1679471603809
28110.61000000,1679471604102
28110.62000000,1679471604397
28110.62000000,1679471604694
28110.62000000,1679471604989
28110.62000000,1679471605290
28113.23000000,1679471605588
28113.23000000,1679471605880
28113.16000000,1679471606171
28113.16000000,1679471606465
28110.00000000,1679471606763
28108.97000000,1679471607088
28106.65000000,1679471607385
28106.37000000,1679471607682
28107.13000000,1679471607980
28100.88000000,1679471608275
28100.68000000,1679471608573
28101.56000000,1679471608883
28101.48000000,1679471609186
28103.63000000,1679471609485
28101.49000000,1679471609791
28101.05000000,1679471610109
28101.05000000,1679471610408
28101.05000000,1679471610702
28101.09000000,1679471610995
28090.88000000,1679471611300
28090.00000000,1679471611606
28087.15000000,1679471611905
28087.04000000,1679471612237
28087.04000000,1679471612539
28087.04000000,1679471612990
28087.29000000,1679471613292
28087.03000000,1679471613598
28087.03000000,1679471613905
28086.78000000,1679471614204
28085.00000000,1679471614518
28084.77000000,1679471614804
28084.76000000,1679471615109
28083.00000000,1679471615413
28081.40000000,1679471615710
28083.65000000,1679471616016
28089.95000000,1679471616324
28090.83000000,1679471616621
28091.42000000,1679471616924
28091.96000000,1679471617530
28093.14000000,1679471617832
28093.55000000,1679471618133
28095.08000000,1679471618449
28090.84000000,1679471619052
28089.99000000,1679471619368
28090.38000000,1679471619673
28090.40000000,1679471619971
28090.40000000,1679471620266
28090.40000000,1679471620570
28090.84000000,1679471620882
28091.05000000,1679471621197
28091.08000000,1679471621498
28091.11000000,1679471621805
28091.12000000,1679471622100
28092.35000000,1679471622414
28098.58000000,1679471622991
28099.08000000,1679471623280
28099.96000000,1679471623594
28099.77000000,1679471623888
28098.59000000,1679471624188
28094.70000000,1679471624496
28095.59000000,1679471624800
28095.60000000,1679471625093
28094.81000000,1679471625391
28094.79000000,1679471625689
28094.80000000,1679471625999
28094.80000000,1679471626304
28096.25000000,1679471626615
28096.24000000,1679471626917
28097.78000000,1679471627222
28097.94000000,1679471627522
28098.95000000,1679471627827
28100.96000000,1679471628134
28101.98000000,1679471628431
28102.00000000,1679471628736
28101.99000000,1679471629040
28102.00000000,1679471629352
28103.85000000,1679471629650
28109.50000000,1679471629948
28109.50000000,1679471630251
28109.52000000,1679471630559
28109.99000000,1679471631154
28109.99000000,1679471631467
28110.00000000,1679471631767
28109.50000000,1679471632089
28106.88000000,1679471632388
28102.66000000,1679471632689
28100.39000000,1679471632995
28100.53000000,1679471633289
28100.41000000,1679471633593
28100.33000000,1679471633893
28100.07000000,1679471634203
28099.86000000,1679471634503
28087.77000000,1679471634805
28086.93000000,1679471635109
28086.93000000,1679471635406
28086.58000000,1679471635703
28083.68000000,1679471635998
28083.00000000,1679471636295
28083.66000000,1679471636594
28083.44000000,1679471636889
28083.67000000,1679471637185
28083.67000000,1679471637488
28084.21000000,1679471637778
28084.21000000,1679471638075
28084.21000000,1679471638375
28084.24000000,1679471638676
28084.25000000,1679471638991
28084.25000000,1679471639295
28084.35000000,1679471639600
28084.77000000,1679471639899
28085.32000000,1679471640204
28085.32000000,1679471640505
28085.32000000,1679471640808
28084.93000000,1679471641108
28084.25000000,1679471641423
28084.23000000,1679471641737
28081.65000000,1679471642036
28082.56000000,1679471642341
28085.38000000,1679471642642
28086.57000000,1679471642952
